"","RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open","zip_in_2014","zip_in_2022"
"7721",20024,3,"DC","Washington","District of Columbia",276859.560099234,2001,9,"2001-09-01",1,0,0
"7722",20024,3,"DC","Washington","District of Columbia",283012.570327717,2001,10,"2001-10-01",1,0,0
"7723",20024,3,"DC","Washington","District of Columbia",287752.698365688,2001,11,"2001-11-01",1,0,0
"7724",20024,3,"DC","Washington","District of Columbia",291555.961592309,2001,12,"2001-12-01",1,0,0
"7725",20024,3,"DC","Washington","District of Columbia",294783.526437882,2002,1,"2002-01-01",1,0,0
"7726",20024,3,"DC","Washington","District of Columbia",299348.400619074,2002,2,"2002-02-01",1,0,0
"7727",20024,3,"DC","Washington","District of Columbia",303895.27034958,2002,3,"2002-03-01",1,0,0
"7728",20024,3,"DC","Washington","District of Columbia",307636.145114145,2002,4,"2002-04-01",1,0,0
"7729",20024,3,"DC","Washington","District of Columbia",310375.39204242,2002,5,"2002-05-01",1,0,0
"7730",20024,3,"DC","Washington","District of Columbia",313999.047597021,2002,6,"2002-06-01",1,0,0
"7731",20024,3,"DC","Washington","District of Columbia",316937.776906624,2002,7,"2002-07-01",1,0,0
"7732",20024,3,"DC","Washington","District of Columbia",318498.573753425,2002,8,"2002-08-01",1,0,0
"7733",20024,3,"DC","Washington","District of Columbia",317919.294145556,2002,9,"2002-09-01",1,0,0
"7734",20024,3,"DC","Washington","District of Columbia",321428.821441689,2002,10,"2002-10-01",1,0,0
"7735",20024,3,"DC","Washington","District of Columbia",328494.844533806,2002,11,"2002-11-01",1,0,0
"7736",20024,3,"DC","Washington","District of Columbia",337035.776251592,2002,12,"2002-12-01",1,0,0
"7737",20024,3,"DC","Washington","District of Columbia",342035.969080406,2003,1,"2003-01-01",1,0,0
"7738",20024,3,"DC","Washington","District of Columbia",345164.245524791,2003,2,"2003-02-01",1,0,0
"7739",20024,3,"DC","Washington","District of Columbia",349711.601098413,2003,3,"2003-03-01",1,0,0
"7740",20024,3,"DC","Washington","District of Columbia",355014.811209466,2003,4,"2003-04-01",1,0,0
"7741",20024,3,"DC","Washington","District of Columbia",359841.192698729,2003,5,"2003-05-01",1,0,0
"7742",20024,3,"DC","Washington","District of Columbia",362919.70343412,2003,6,"2003-06-01",1,0,0
"7743",20024,3,"DC","Washington","District of Columbia",367088.358795989,2003,7,"2003-07-01",1,0,0
"7744",20024,3,"DC","Washington","District of Columbia",372896.916790884,2003,8,"2003-08-01",1,0,0
"7745",20024,3,"DC","Washington","District of Columbia",378640.831400023,2003,9,"2003-09-01",1,0,0
"7746",20024,3,"DC","Washington","District of Columbia",381866.068949633,2003,10,"2003-10-01",1,0,0
"7747",20024,3,"DC","Washington","District of Columbia",382443.485028689,2003,11,"2003-11-01",1,0,0
"7748",20024,3,"DC","Washington","District of Columbia",383929.508349398,2003,12,"2003-12-01",1,0,0
"7749",20024,3,"DC","Washington","District of Columbia",387658.407708858,2004,1,"2004-01-01",1,0,0
"7750",20024,3,"DC","Washington","District of Columbia",392957.045243531,2004,2,"2004-02-01",1,0,0
"7751",20024,3,"DC","Washington","District of Columbia",396988.094522316,2004,3,"2004-03-01",1,0,0
"7752",20024,3,"DC","Washington","District of Columbia",400661.53862154,2004,4,"2004-04-01",1,0,0
"7753",20024,3,"DC","Washington","District of Columbia",403834.409742608,2004,5,"2004-05-01",1,0,0
"7754",20024,3,"DC","Washington","District of Columbia",408769.194595236,2004,6,"2004-06-01",1,0,0
"7755",20024,3,"DC","Washington","District of Columbia",416626.533963582,2004,7,"2004-07-01",1,0,0
"7756",20024,3,"DC","Washington","District of Columbia",424488.751269397,2004,8,"2004-08-01",1,0,0
"7757",20024,3,"DC","Washington","District of Columbia",436984.882913239,2004,9,"2004-09-01",1,0,0
"7758",20024,3,"DC","Washington","District of Columbia",450550.456677879,2004,10,"2004-10-01",1,0,0
"7759",20024,3,"DC","Washington","District of Columbia",466438.853946377,2004,11,"2004-11-01",1,0,0
"7760",20024,3,"DC","Washington","District of Columbia",476682.917387449,2004,12,"2004-12-01",1,0,0
"7761",20024,3,"DC","Washington","District of Columbia",483050.815445694,2005,1,"2005-01-01",1,0,0
"7762",20024,3,"DC","Washington","District of Columbia",490013.418661619,2005,2,"2005-02-01",1,0,0
"7763",20024,3,"DC","Washington","District of Columbia",498568.283213121,2005,3,"2005-03-01",1,0,0
"7764",20024,3,"DC","Washington","District of Columbia",509175.035001668,2005,4,"2005-04-01",1,0,0
"7765",20024,3,"DC","Washington","District of Columbia",518456.674240363,2005,5,"2005-05-01",1,0,0
"7766",20024,3,"DC","Washington","District of Columbia",527219.971622214,2005,6,"2005-06-01",1,0,0
"7767",20024,3,"DC","Washington","District of Columbia",536535.451066877,2005,7,"2005-07-01",1,0,0
"7768",20024,3,"DC","Washington","District of Columbia",548827.46962979,2005,8,"2005-08-01",1,0,0
"7769",20024,3,"DC","Washington","District of Columbia",560887.486631357,2005,9,"2005-09-01",1,0,0
"7770",20024,3,"DC","Washington","District of Columbia",570261.980394448,2005,10,"2005-10-01",1,0,0
"7771",20024,3,"DC","Washington","District of Columbia",576229.381607224,2005,11,"2005-11-01",1,0,0
"7772",20024,3,"DC","Washington","District of Columbia",582206.541867817,2005,12,"2005-12-01",1,0,0
"7773",20024,3,"DC","Washington","District of Columbia",587573.871197951,2006,1,"2006-01-01",1,0,0
"7774",20024,3,"DC","Washington","District of Columbia",591717.119467871,2006,2,"2006-02-01",1,0,0
"7775",20024,3,"DC","Washington","District of Columbia",596256.24816309,2006,3,"2006-03-01",1,0,0
